TripCode,Sample_ID,Region,Latitude,Longitude,SampleTime_UTC,SampleTime_Local,Year_Local,Month_Local,Day_Local,Time_Local24hr,SatSST_degC,SatChlaSurf_mgm3,PCI,BiomassIndex_mgm3 ,SampleVolume_m3,Amphipod,Appendicularian,Ascidian,Brachiopod,Bryozoan,Cephalopod,Chaetognath,Ciliate,Ciliophora,Cirripedia,Cladoceran,Cnidarian,Copepod,Ctenophore,Cumacean,Decapod,Echinoderm,Egg,Euphausiid,Fish,Foraminifera,Isopod,Mollusc,Mysida,Nematode,Noctilucaceae,Ostracod,Platyhelminthes,Polychaete,Radiozoa,Sipunculid,Thaliacean,Thecostraca,Urochordata
ABAB20200227,534-1,Great Australian Bight,-37.9138,135.331,2020-02-27T02:01:35Z,2020-02-27 11:31:35,2020,2,27,11:31,17.03,,1,1,1.5,0,0,0,0,0,0,0.6667,0,0,0,0,0,6,0,0,0,0,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-5,Great Australian Bight,-37.8766,134.9125,2020-02-27T03:10:21Z,2020-02-27 12:40:21,2020,2,27,12:40,17.2451,0.1363,1,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-9,Great Australian Bight,-37.8378,134.4944,2020-02-27T04:19:07Z,2020-02-27 13:49:07,2020,2,27,13:49,17.7044,,1,1.1333,1.5,0,11.3333,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0
ABAB20200227,534-13,Great Australian Bight,-37.7977,134.0767,2020-02-27T05:27:52Z,2020-02-27 14:57:52,2020,2,27,14:57,17.8153,,1,2.3333,1.5,0,0,0,0,0,0,0,0,0,0,0.6667,0,35.3334,0,0,0,0,0,0,0,1.3333,0,1.3334,0,0,0,0,0,0,0,0,0.6667,0,0
ABAB20200227,534-17,Great Australian Bight,-37.756,133.6596,2020-02-27T06:36:38Z,2020-02-27 16:06:38,2020,2,27,16:06,17.5117,,1,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.3334,0,0,0,0,0,0,0,2.6667,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-21,Great Australian Bight,-37.7129,133.2428,2020-02-27T07:45:24Z,2020-02-27 17:15:24,2020,2,27,17:15,17.5927,,1,3.7333,1.5,0,1.3333,0,0,0,0,1.3333,0,0,0,0,0,10,0,0,0.6667,0,0,0,0,1.3333,0,2,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-25,Great Australian Bight,-37.6683,132.8266,2020-02-27T08:54:09Z,2020-02-27 18:24:09,2020,2,27,18:24,17.8851,,1,3.2667,1.5,0.6667,4,0,0,0,0,2,0,0,0,0,0,12.6667,0,0,0,0,0,0,0,0.6667,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-29,Great Australian Bight,-37.6222,132.4109,2020-02-27T10:02:55Z,2020-02-27 19:32:55,2020,2,27,19:32,17.659,,1,2.2,1.5,0,2.6667,0,0,0,0,0,0,0,0,0,0,17.3333,0,0,0,0,0,0,0,1.3333,0,1.3333,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-33,Great Australian Bight,-37.5747,131.9958,2020-02-27T11:11:40Z,2020-02-27 20:41:40,2020,2,27,20:41,17.067,,1,3.0667,1.5,0,2,0,0,0,0,1.3333,0,0,0,0,0,28.6667,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-37,Great Australian Bight,-37.5258,131.5811,2020-02-27T12:20:26Z,2020-02-27 21:50:26,2020,2,27,21:50,16.7273,,1,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,44.6668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-41,Great Australian Bight,-37.4754,131.167,2020-02-27T13:29:12Z,2020-02-27 22:59:12,2020,2,27,22:59,17.6692,,1,3.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,39.3333,0,0,0.6667,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-45,Great Australian Bight,-37.4235,130.7535,2020-02-27T14:37:57Z,2020-02-28 00:07:57,2020,2,28,00:07,17.5778,,1,10.6667,1.5,0,0,0,0,0,0,0,0,0,0,0,0,22.6668,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-49,Great Australian Bight,-37.3702,130.3405,2020-02-27T15:46:43Z,2020-02-28 01:16:43,2020,2,28,01:16,18.2491,,1,6.2667,1.5,0,0,0,0,0,0,0,0,0,0,0,0,72.6669,0,0,2,0,0,0,0,0,0,2.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-53,Great Australian Bight,-37.3155,129.9282,2020-02-27T16:55:29Z,2020-02-28 02:25:29,2020,2,28,02:25,18.646,,1,3.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,23.3337,0,0,0,0,0,0,0,0.6667,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-57,Great Australian Bight,-37.2594,129.5164,2020-02-27T18:04:14Z,2020-02-28 03:34:14,2020,2,28,03:34,18.7125,,1,7.2667,1.5,0.6667,6,0,0,0,0,6.6667,0,0,0,0,0.6667,64.0007,0,0,2,0,0,4.0001,0.6667,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0
ABAB20200227,534-61,Great Australian Bight,-37.2018,129.1053,2020-02-27T19:13:00Z,2020-02-28 04:43:00,2020,2,28,04:43,18.1141,,1,2.2667,1.5,0,2.6667,0,0,0,0,0.6667,0,0,0,0,0,33.3336,0,0,0.6667,0,0,0,0,2,0,1.3334,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-65,Great Australian Bight,-37.1428,128.6948,2020-02-27T20:21:46Z,2020-02-28 04:21:46,2020,2,28,04:21,16.847,,2,9.8667,1.5,0,0,0,0,0,0,0,0,0,0,0,0,26.6668,0,0,1.3333,0,0,0,0,4,0,3.3333,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-69,Great Australian Bight,-37.0824,128.285,2020-02-27T21:30:31Z,2020-02-28 05:30:31,2020,2,28,05:30,14.0723,,1,4.2,1.5,0,0,0,0,0,0,3.3333,0,0,0,0.6667,0.6667,16.6668,0,0,0.6667,0,0,3.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-73,Great Australian Bight,-37.0206,127.8758,2020-02-27T22:39:17Z,2020-02-28 06:39:17,2020,2,28,06:39,14.5747,,0,3.6667,1.5,0,0,0,0,0,0,0.6667,0,0,0,0,0,12.6668,0,0,0.6667,0,0,0,0,1.3333,0,1.3333,0,0,0,0,0,0.6667,0,0,0,0,0
ABAB20200227,534-77,Great Australian Bight,-36.9574,127.4673,2020-02-27T23:48:02Z,2020-02-28 07:48:02,2020,2,28,07:48,18.2466,,1,8.8667,1.5,0,0,0,0,0,0,1.3333,0,0,0,0,0,16.6666,0,0,2,0,0,4.6667,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-81,Great Australian Bight,-36.8927,127.0595,2020-02-28T00:56:48Z,2020-02-28 08:56:48,2020,2,28,08:56,,,1,3.2667,1.5,0,2,0,0,0,0,0,0,0,0,0,0,32.6668,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-85,Great Australian Bight,-36.8267,126.6524,2020-02-28T02:05:34Z,2020-02-28 10:05:34,2020,2,28,10:05,,,0,3.5333,1.5,0,1.3333,0,0,0,0,1.3333,0,0,0,0.6667,0,12.0001,0,0,0,0,0,0.6667,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,534-89,Great Australian Bight,-36.7593,126.246,2020-02-28T03:14:19Z,2020-02-28 11:14:19,2020,2,28,11:14,,,1,2.6,1.5,0,2.6667,0,0,0,0,0.6667,0,0,0,0.6667,0,9.3334,0,0,0.6667,0,0.6667,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABFR20140923,308-1,Great Australian Bight,-35.3334,127.1707,2014-09-23T01:59:17Z,2014-09-23 09:59:17,2014,9,23,09:59,15.4439,,0,0.4667,1.5,0,0,0,0,0,0,0,0,0,0,0.6667,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABFR20140923,308-5,Great Australian Bight,-35.3333,126.7633,2014-09-23T03:13:29Z,2014-09-23 11:13:29,2014,9,23,11:13,15.4522,,2,1.6,1.5,0,10.6667,0,0,0,0,0,0,0,0,0,0,17.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABFR20140923,308-9,Great Australian Bight,-35.3324,126.3559,2014-09-23T04:27:41Z,2014-09-23 12:27:41,2014,9,23,12:27,15.5028,,1,1.6,1.5,0,8,0,0,0,0,0.6667,0,0,0,0,0,14.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABFR20140923,308-13,Great Australian Bight,-35.33,125.9485,2014-09-23T05:41:53Z,2014-09-23 13:41:53,2014,9,23,13:41,15.751,,1,1.5333,1.5,0,3.3333,0,0,0,0,1.3333,0,0,0,0,0,14.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
