receiver_deployment_id,receiver_name,purchasing_organisation,receiver_project_name,receiver_status,receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface,receiver_recovery_datetime,receiver_recovery_longitude,receiver_recovery_latitude,active
310346934,VR2W-105938,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-12-14 23:00:00,IMOS Coastal Array Queensland,Noosa SCP,153.107,-26.3699,3.0,,,,YES
310340379,VR2W-114689,IMOS Animal Tracking Facility,UQ Project Manta east Australia,DEPLOYED,2023-12-08 23:00:00,North Stradbroke Island SEQ,NSI_Manta Bommie_East,153.5468667,-27.4230667,11.0,,,,YES
310340372,VR2W-114547,IMOS Animal Tracking Facility,UQ Project Manta east Australia,DEPLOYED,2023-12-08 23:00:00,North Stradbroke Island SEQ,NSI_Manta Bommie West,153.54775,-27.4243,9.0,,,,YES
310279088,VR4-UWM-250607,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-07 23:33:00,IMOS-ATF Coffs Harbour line,CH 10,153.24916,-30.20737,30.0,,,,YES
310279085,VR4-UWM-250393,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-07 22:41:00,IMOS-ATF Coffs Harbour line,CH 9,153.24049,-30.20816,34.0,,,,YES
310279079,VR4-UWM-250606,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-07 21:47:00,IMOS-ATF Coffs Harbour line,CH 7,153.22339,-31.2097,33.0,,,,YES
310279094,VR4-UWM-250399,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-07 03:11:00,IMOS-ATF Coffs Harbour line,CH 12,153.27567,-30.20456,42.0,,,,YES
310279097,VR4-UWM-250964,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-06 23:11:00,IMOS-ATF Coffs Harbour line,CH 13,153.284291,-30.204542,49.0,,,,YES
310279082,VR4-UWM-250971,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-06 22:25:00,IMOS-ATF Coffs Harbour line,CH 8,153.232341,-30.209371,34.0,,,,YES
310395593,VR2AR-553499,The University of Western Australia,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-12-06 02:05:00,Lord Howe Island Marine Park,Northeast corner of Balls Pyramid shelf,159.25703,-31.69783,50.0,,,,YES
310279076,VR4-UWM-250972,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-06 02:00:00,IMOS-ATF Coffs Harbour line,CH 6,153.21504,-30.2107,28.0,,,,YES
310395596,VR2AR-553500,The University of Western Australia,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-12-06 01:27:00,Lord Howe Island Marine Park,Southern end of Balls Pyramid shelf,159.25106,-31.85808,53.0,,,,YES
310279064,VR4-UWM-250404,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-06 00:10:00,IMOS-ATF Coffs Harbour line,CH 2,153.18124,-30.21355,20.0,,,,YES
310279067,VR4-UWM-250387,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-05 23:49:00,IMOS-ATF Coffs Harbour line,CH 3,153.18991,-30.21282,24.0,,,,YES
310395581,VR2AR-553496,The University of Western Australia,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-12-05 04:10:00,Lord Howe Island Marine Park,Northeast LHI  shelf v2,159.1228,-31.4487,53.0,,,,YES
310279061,VR4-UWM-250402,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-05 03:10:00,IMOS-ATF Coffs Harbour line,CH 1,153.27462,-30.21115,16.0,,,,YES
310395584,VR2AR-553495,The University of Western Australia,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-12-05 02:59:00,Lord Howe Island Marine Park,Northwest LHI shelf v2,159.9757,-31.4954,63.0,,,,YES
310279070,VR4-UWM-250580,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-05 00:02:00,IMOS-ATF Coffs Harbour line,CH 4,153.19852,-30.2121,24.0,,,,YES
310279073,VR4-UWM-250394,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-04 22:34:00,IMOS-ATF Coffs Harbour line,CH 5,153.20683,-31.21158,26.0,,,,YES
310279091,VR4-UWM-250385,IMOS Animal Tracking Facility,IMOS-ATF Coffs Harbour line,DEPLOYED,2023-12-04 21:05:00,IMOS-ATF Coffs Harbour line,CH 11,153.25758,-30.20514,24.0,,,,YES
310193877,VR2Tx-481319,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-12-03 22:50:00,IMOS Coastal Array Queensland,Mantis (Far North),143.93274,-12.2108,22.0,,,,YES
310346928,VR2W-125340,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-12-03 22:00:00,IMOS Reefs / Offshore Array Queensland,Sandbank1 Reef,144.89135,-14.191183,9.0,,,,YES
310395644,VR2Tx-481324,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-12-01 06:35:00,IMOS Coastal Array Queensland,Henry Reef (Far North),143.81667,-12.22245,21.0,,,,YES
311187823,VR2W-114287,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-30 22:00:00,IMOS Reefs / Offshore Array Queensland,Mantis LTMP,143.8593,-12.33801,8.0,,,,YES
310395590,VR2AR-553498,The University of Western Australia,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-11-29 03:34:00,Lord Howe Island Marine Park,Southwest corner of LHI shelf,159.073,-31.681983,54.0,,,,YES
310395587,VR2AR-553497,The University of Western Australia,Galapagos shark movement patterns in the Lord Howe Island Marine Park,DEPLOYED,2023-11-29 03:03:00,Lord Howe Island Marine Park,Southeast corner of LHI shelf,159.173983,-31.621317,46.0,,,,YES
310395638,VR2Tx-481323,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-28 20:35:00,IMOS Coastal Array Queensland,Great Detached (Far North),144.05076,-11.50275,21.0,,,,YES
310193883,VR2Tx-481320,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2023-11-27 05:00:00,IMOS Coastal Array Queensland,Maulta Cay (Far North),144.02535,-11.41732,11.0,,,,YES
